"filename", "language", "Java", "Markdown", "JSON", "Ini", "comment", "blank", "total"
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\details.md", "Markdown", 0, 22, 0, 0, 0, 6, 28
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\results.md", "Markdown", 0, 22, 0, 0, 0, 7, 29
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_16-50-44\details.md", "Markdown", 0, 44, 0, 0, 0, 6, 50
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_16-50-44\diff-details.md", "Markdown", 0, 40, 0, 0, 0, 6, 46
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_16-50-44\diff.md", "Markdown", 0, 30, 0, 0, 0, 7, 37
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_16-50-44\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_16-50-44\results.md", "Markdown", 0, 31, 0, 0, 0, 7, 38
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_23-18-14\details.md", "Markdown", 0, 49, 0, 0, 0, 6, 55
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_23-18-14\diff-details.md", "Markdown", 0, 19, 0, 0, 0, 6, 25
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_23-18-14\diff.md", "Markdown", 0, 25, 0, 0, 0, 7, 32
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_23-18-14\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-06_23-18-14\results.md", "Markdown", 0, 32, 0, 0, 0, 7, 39
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-16_21-19-40\details.md", "Markdown", 0, 90, 0, 0, 0, 6, 96
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-16_21-19-40\diff-details.md", "Markdown", 0, 69, 0, 0, 0, 6, 75
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-16_21-19-40\diff.md", "Markdown", 0, 36, 0, 0, 0, 7, 43
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-16_21-19-40\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Code\JavGameTest\.VSCodeCounter\2024-01-16_21-19-40\results.md", "Markdown", 0, 40, 0, 0, 0, 7, 47
"d:\Code\JavGameTest\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1
"d:\Code\JavGameTest\bin\Health Bar Asset Pack 2 by Adwit Rahman\desktop.ini", "Ini", 0, 0, 0, 2, 0, 1, 3
"d:\Code\JavGameTest\bin\entities\Chomp.class", "Java", 31, 0, 0, 0, 0, 0, 31
"d:\Code\JavGameTest\bin\entities\Enemy.class", "Java", 48, 0, 0, 0, 0, 0, 48
"d:\Code\JavGameTest\bin\entities\EnemyManager.class", "Java", 45, 0, 0, 0, 0, 0, 45
"d:\Code\JavGameTest\bin\entities\Entity.class", "Java", 25, 0, 0, 0, 0, 0, 25
"d:\Code\JavGameTest\bin\entities\Player.class", "Java", 118, 0, 0, 0, 0, 1, 119
"d:\Code\JavGameTest\bin\gamestates\Gamestate.class", "Java", 11, 0, 0, 0, 0, 0, 11
"d:\Code\JavGameTest\bin\gamestates\Menu.class", "Java", 51, 0, 0, 0, 0, 1, 52
"d:\Code\JavGameTest\bin\gamestates\Playing.class", "Java", 67, 0, 0, 0, 22, 0, 89
"d:\Code\JavGameTest\bin\gamestates\State.class", "Java", 16, 0, 0, 0, 0, 0, 16
"d:\Code\JavGameTest\bin\gamestates\Statemethods.class", "Java", 10, 0, 0, 0, 0, 0, 10
"d:\Code\JavGameTest\bin\inputs\KeyboardInputs.class", "Java", 29, 0, 0, 0, 0, 1, 30
"d:\Code\JavGameTest\bin\inputs\MouseInputs.class", "Java", 32, 0, 0, 0, 0, 0, 32
"d:\Code\JavGameTest\bin\levels\Level.class", "Java", 13, 0, 0, 0, 0, 0, 13
"d:\Code\JavGameTest\bin\levels\LevelManager.class", "Java", 20, 0, 0, 0, 0, 0, 20
"d:\Code\JavGameTest\bin\main\Game.class", "Java", 63, 0, 0, 0, 0, 1, 64
"d:\Code\JavGameTest\bin\main\GamePanel.class", "Java", 19, 0, 0, 0, 0, 0, 19
"d:\Code\JavGameTest\bin\main\GameWindow$1.class", "Java", 14, 0, 0, 0, 0, 1, 15
"d:\Code\JavGameTest\bin\main\GameWindow.class", "Java", 26, 0, 0, 0, 0, 0, 26
"d:\Code\JavGameTest\bin\main\MainClass.class", "Java", 8, 0, 0, 0, 0, 0, 8
"d:\Code\JavGameTest\bin\ui\Buttons.class", "Java", 18, 0, 0, 0, 0, 0, 18
"d:\Code\JavGameTest\bin\ui\GameOverOverlay.class", "Java", 19, 0, 0, 0, 0, 0, 19
"d:\Code\JavGameTest\bin\ui\LevelCompletedOverlay.class", "Java", 43, 0, 0, 0, 0, 0, 43
"d:\Code\JavGameTest\bin\ui\MenuButton.class", "Java", 26, 0, 0, 0, 0, 0, 26
"d:\Code\JavGameTest\bin\ui\PauseButton.class", "Java", 23, 0, 0, 0, 0, 0, 23
"d:\Code\JavGameTest\bin\ui\PauseOverlay.class", "Java", 61, 0, 0, 0, 1, 0, 62
"d:\Code\JavGameTest\bin\ui\SoundButton.class", "Java", 20, 0, 0, 0, 0, 0, 20
"d:\Code\JavGameTest\bin\ui\UrmButton.class", "Java", 19, 0, 0, 0, 0, 0, 19
"d:\Code\JavGameTest\bin\ui\VolumeBar.class", "Java", 15, 0, 0, 0, 0, 0, 15
"d:\Code\JavGameTest\bin\utilz\Constants$Direction.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$EnemyConstants.class", "Java", 10, 0, 0, 0, 0, 0, 10
"d:\Code\JavGameTest\bin\utilz\Constants$GRASSLAND.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$PlayerConstants.class", "Java", 14, 0, 0, 0, 0, 0, 14
"d:\Code\JavGameTest\bin\utilz\Constants$UI$HealthBar.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$UI$PauseButton.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$UI$PauseMenu.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$UI$URMButtons.class", "Java", 7, 0, 0, 0, 0, 0, 7
"d:\Code\JavGameTest\bin\utilz\Constants$UI$VolumeBar.class", "Java", 6, 0, 0, 0, 0, 0, 6
"d:\Code\JavGameTest\bin\utilz\Constants$UI.class", "Java", 8, 0, 0, 0, 0, 0, 8
"d:\Code\JavGameTest\bin\utilz\Constants.class", "Java", 6, 0, 0, 0, 0, 0, 6
"d:\Code\JavGameTest\bin\utilz\HelpMethods.class", "Java", 35, 0, 0, 0, 0, 0, 35
"d:\Code\JavGameTest\bin\utilz\LoadSave.class", "Java", 40, 0, 0, 0, 0, 0, 40
"d:\Code\JavGameTest\res\Health Bar Asset Pack 2 by Adwit Rahman\desktop.ini", "Ini", 0, 0, 0, 2, 0, 1, 3
"d:\Code\JavGameTest\src\entities\Chomp.java", "Java", 55, 0, 0, 0, 0, 15, 70
"d:\Code\JavGameTest\src\entities\Enemy.java", "Java", 152, 0, 0, 0, 2, 28, 182
"d:\Code\JavGameTest\src\entities\EnemyManager.java", "Java", 72, 0, 0, 0, 1, 18, 91
"d:\Code\JavGameTest\src\entities\Entity.java", "Java", 54, 0, 0, 0, 4, 16, 74
"d:\Code\JavGameTest\src\entities\Player.java", "Java", 312, 0, 0, 0, 12, 68, 392
"d:\Code\JavGameTest\src\gamestates\Gamestate.java", "Java", 5, 0, 0, 0, 0, 6, 11
"d:\Code\JavGameTest\src\gamestates\Menu.java", "Java", 93, 0, 0, 0, 0, 33, 126
"d:\Code\JavGameTest\src\gamestates\Playing.java", "Java", 225, 0, 0, 0, 0, 47, 272
"d:\Code\JavGameTest\src\gamestates\State.java", "Java", 16, 0, 0, 0, 0, 12, 28
"d:\Code\JavGameTest\src\gamestates\Statemethods.java", "Java", 14, 0, 0, 0, 0, 11, 25
"d:\Code\JavGameTest\src\inputs\KeyboardInputs.java", "Java", 40, 0, 0, 0, 1, 11, 52
"d:\Code\JavGameTest\src\inputs\MouseInputs.java", "Java", 70, 0, 0, 0, 4, 19, 93
"d:\Code\JavGameTest\src\levels\Level.java", "Java", 13, 0, 0, 0, 0, 7, 20
"d:\Code\JavGameTest\src\levels\LevelManager.java", "Java", 37, 0, 0, 0, 1, 14, 52
"d:\Code\JavGameTest\src\main\Game.java", "Java", 110, 0, 0, 0, 5, 44, 159
"d:\Code\JavGameTest\src\main\GamePanel.java", "Java", 35, 0, 0, 0, 1, 20, 56
"d:\Code\JavGameTest\src\main\GameWindow.java", "Java", 25, 0, 0, 0, 0, 13, 38
"d:\Code\JavGameTest\src\main\MainClass.java", "Java", 6, 0, 0, 0, 0, 4, 10
"d:\Code\JavGameTest\src\ui\Buttons.java", "Java", 49, 0, 0, 0, 0, 23, 72
"d:\Code\JavGameTest\src\ui\GameOverOverlay.java", "Java", 26, 0, 0, 0, 0, 10, 36
"d:\Code\JavGameTest\src\ui\LevelCompletedOverlay.java", "Java", 73, 0, 0, 0, 0, 17, 90
"d:\Code\JavGameTest\src\ui\MenuButton.java", "Java", 61, 0, 0, 0, 0, 15, 76
"d:\Code\JavGameTest\src\ui\PauseButton.java", "Java", 59, 0, 0, 0, 0, 22, 81
"d:\Code\JavGameTest\src\ui\PauseOverlay.java", "Java", 132, 0, 0, 0, 4, 41, 177
"d:\Code\JavGameTest\src\ui\SoundButton.java", "Java", 60, 0, 0, 0, 2, 21, 83
"d:\Code\JavGameTest\src\ui\UrmButton.java", "Java", 47, 0, 0, 0, 0, 16, 63
"d:\Code\JavGameTest\src\ui\VolumeBar.java", "Java", 51, 0, 0, 0, 0, 17, 68
"d:\Code\JavGameTest\src\utilz\Constants.java", "Java", 151, 0, 0, 0, 0, 31, 182
"d:\Code\JavGameTest\src\utilz\HelpMethods.java", "Java", 89, 0, 0, 0, 17, 22, 128
"d:\Code\JavGameTest\src\utilz\LoadSave.java", "Java", 89, 0, 0, 0, 9, 21, 119
"Total", "-", 3272, 571, 4, 4, 86, 753, 4690
